id,sentimen,tweet
46,0,sangat sakit mata bacanya naon ad yang salah dih cont
47,0,padahal yang lain senyum ramah lohh sama fansnya cuma kamu sendiri yang agak angkuh rodo ngadoh piee ngono nek tak rasakne sumpah wagu mas polahmu
48,0,punya teman yang egois dan penghianat itu rasanya x
49,1,god morning sayang have a nice day ya
50,1,sayang akuu udah gede banget sih kamuu gak berasa ya perasaan baru kemarin lahir skrg udah gede aja bawel banget lagi
51,1,temen sma w nih berhubung dia lg jomblo baru 2 hari mkanya gangguin orang barangkali yg mau knalan dia bilang kemren klo dia mau cari pasangan yg bisa ngeetiin tugasnya hehew
52,1,yaudahlah yang penting indah bahagia
53,1,pastinya qarin ehehe nah bismilah iyah rin àï½âï½ à optimis okeoeke dd
54,0,itu tersesat bgt yang seharusnya kamu belajar berbagai macam teori tentang sosial di sini kamu dikasih berbagai macam angka dan rumus yg bikin gak nyaman dan jatuhnya malah jadi orang paling tertinggal di kelas
55,1,tiada henti 2ny q mengucap syukut alhmdllh skrg aku bsa uang jadi panitia kmrn alhmdllh trmkah kau bri brlmpah mski tak sbrpa inysllh lma2 mmbukit amn
56,1,bersenangsenang lah sepuas nya mumpung masih muda
57,0,kalah saing juga sama ibuk ni balas smsnya lama beut ï½ ï½ï½
58,0,hp apan sih memang aihaha hpe lama itu v ciye haha semoga ketularan hp baru chandra_lan tidakini mah hpe
59,0,saya hidup dizaman presiden hebat yaitu soeharto beliau buat aman dan tenang untuk masyarakat tetapi tidak tenang untuk kaum pki kaum rampok kaum bandit kaum yg ingin jadi pejabat negara tapi otaknya kosong hanya kaum itulah yg tidak suka bapak soeharto
60,1,kepingin gudeg mbarek bu hj amad foto dari google sengaja biar temanteman jg membayangkannya berbagi itu indah
61,0,akhirnya malu kan bila dipermalukan etika itu penting dalam berbagai aspek kehidupan rakyat semua tahu setelah sanggahan dan petunjuk yg terlontar jangan merasa bersih jika tdk bersih
62,1,fix fly overnya keren abis at flyover summarecon bekasi pic â httptcolcrnr0rsh9
63,1,congratulations mengucapkan selamat untuk ibu dini mildawati yang meraih new silver leader semoga semakin lancar sukses bersama paytren
64,1,ulfahmatswal google play lumayan bagus koq
65,1,whahaha ya man ya hapy birthday ya ibu pimpinan gbynand atbfy bercanda saja man
66,0,sedih kenapa lagi si lnjut boleh ko ke rom diam ah jangan bercanda saya lagi sedih
67,1,alhamdulillah listrik nyala kembalisaya warga sedang takziah di kediaman almarhum warga yg wafat terima kasih ccusername
68,0,dah dua tahun doi jd spv jd dah biasa w tidur sendiri doi pulang subuh paginy w kerja dia tidur w plg dia udah brgkt pdhl serumah kdg 3 hari baru ketemu gitu kok ya yg ngatain w posesif gabisa ditinggal pgn w makan jd lauk samyang
69,0,tapi tentunya secara ini bekasi halhal yg sayangnya tidak terelakkan 1 bekasi itu panas banget 2 bekasi kalau weekend soremalam itu macet banget tapi hal tsb bisa diatasin sih kalau panas ya pake ac ngindarin macet dg rencanakan jadwal keluar rumah
70,1,ava kamu lucu hehe
71,0,et jorok beud si bos
72,0,sakit yang paling menyiksa itu rindu sakit yang paling ngebatin itu nungu dan sakit yang paling sakit itu mencintai kamu
73,0,hee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dr akun anda ygdisebarkan lewat fb ini bukan saja nol besar tp skaligus nonjok muka junjungan sdr terima kasih
74,0,kdrt ï½ jangan kasar yank banting saja kalau prlu hehe haha tabok saja yank damnichan wahai
75,1,alhamdulillah saya coba dengan password yg daftar seminggu lalu udah bisa dan tgl 16 dapat antriannya terimakasih
76,0,baru kali ini pemakaian fasilitas laboratorium dikampus sendiri bayar kalo begitu uang yang dibayarkan tiap semster apa tidak termasuk di doain yang buruk apa yang baik nih
77,1,bulan depan baru kita kesini ramai sob tenang
78,0,reply1988 im not robot fight for my way its okay thats cinta goblin itu yg inget kayaknya gua demen mewek terutama drama yg ditinggal meninggal gitu emang cengeng
79,0,kenapa sinyal disini jelek sekali
80,0,ah nanti kamu dusta lagi kaya waktu itu
81,1,asal lo tau aja org kuruskecil itu sebenarnya makannya banyak tp g gede gt lhoo dan sebaliknya org gendut mkn dikit tp gendut jangan minder jd org kurusgemuk bersyukur aja sm allah
82,0,map ya ik putry khilaf songong wahaha bau ik kaya kamu tae
83,1,kurnia mega bintang timnas nih thumbsup httptcodrfy17e5wg
84,1,cinta memberikan alasan untuk tersenyum dan memberikan waktu yang indah untuk tertawa tapi terkadang cinta juga memberikan kenangan yang tak akan pernah dilupakan
85,1,selamat pagi selamat beraktifitas ya
86,0,saat sakit gigi dan sakit hati datang berbarengan rasanya kayak mau bilang terima kasih loh tuhan aku dikasih kesempatan langka begini
87,0,saya kaya anak kostan tidakpunya duit selalu kelaparan ya tuhan
88,1,hepibesdey mbaak canteekk panjang umur sehat selalu serta mulia dan jadi pribadi yang jauh lebih baik tetep mentel yee tapi jangan jadi simpenan orang
89,0,maunya di fasilitasin tapi kerja hasilnya belum jelas omonganya itu ya kosong at motormobile ofice â
90,1,gilee gue liat cover jack the giant slayer aja udh gemes bgt nicho gayanya keren abis makin naksir 3
91,1,cuek tapi diem2 perhatian banget sama anak nya galak tapi cengeng disiplin banget humoris juga ramah jago masak pinter ngaji rajin banget sholat orang nya kuat heheh sayang banget sama mama
92,1,yah namanya juga cinta waktu cinta banget cinta aja lumayan cinta agak cinta tapi nggak mau pisah yah namanya juga cinta siapa yang bisa ngeplanning besok mau ngasih cinta berapa persen ke doi
93,0,jangan diam lawan juga mereka yg memparalat hukum dgn tujuan kekuasaan jangan diam lawan juga mereka front linernya komunis berkedok pancasila
94,0,sometimes flashback is hurts egy jahat sangat ï½ ï½
95,0,gue adalah cewe yg galak sama sesama cewe yg goblik pake feeling gak pake otak egois baper lebay semena2 gak punya empati manja gak pernah mau salah gak responsible bahkan lempar tanggung jawab wait sama cowo yg gt jg sih berarti gue emang dasarnya galak aja wqwqwq
96,1,hihihi nanti kita cantik 3 waiting juni âº
97,1,alhamdulillah ga pernah merasa inferior islam agama paling sempurna umatnya saja yang inferior merasa islam sama dengan agama lain islam diliberalkan
98,1,sama sama sayang
99,1,ini price list yang dari facebook nya mereka web nya di semoga membantu anyway ini myday yang biasanya sering karaoke disana
100,0,sebuah misteri kenapa kalau perempuan korban pelecehan seksual yang speak up yang paling ganas jarimulutnya justru banyak perempuan juga
101,1,happy birthday sender wish you all the bestsemoga ditahun ini kamu dikasih kesehatan selalusuksesdan orang makin sayang sama kamu once againhappy birthday
102,0,gk perlu mnta maap juga kalik beda perspektif mah wajar yg lebay mah ngapus twit neg bkn bela simic jg tp slama vv gk lapor pulisi bhwa dia udh jadi korban pelecehan mah itu msh tetep urusan private mreka bdua di dm gmn awa
103,1,hahahaha co saya masih terbahakbahak pas pel pkn itutuh sd cilampang lol
104,0,tidakbisa tidakusah kamu gwan kebiasan lama d kalau jawa jawa saja liat twitmu kemero _
105,1,habis buka facebook thinking sebanyak itu ya temanteman yang saya kenal mulai dari teman sd sampe pas jaman kuliah dengan segala kesibukan mereka sekarang seneng aja lihatnya feeling very grateful have a live in this life alhamdulillah
106,0,wakwkw maaf yud sudah salah ngotot huh
107,0,jangankan tgb jika hrs atau sby bahkan pmarahanarab sekalipun kalau merapat ke gak akan saya dengar seruannya indonesia butuh pemimpin kredibel dan jokowi tak kredibel akugppkok
108,0,koneksi axis parah banget di mari __ at n hotel httptcouwoatijxqs
109,1,jangan pernah menyerah ku kan selalu di sini untuk bersamamu sayang melawan dunia jangan pernah merendah kau tak pernah sendiri kita bersamamu sayang berdarah bersama
110,0,orang egois yang harus dimusnahkn duduk di ka tidakmau mindahin brgny yang ditaro disblh padahal orang berdiri ckckck kamu pkr ini kereta punya mbahmu
111,1,namanya juga perasaan gabisa dibohongin karena biasanya yang bikin jatuh cinta dan yang bikin nyaman itu orangnya beda cewe sama cowo misalnya selamat sore jangan lupa minum minum yakult tiap hari
112,0,twt tolong coba tatar merekabiar tau sopan santun jgn songong kurang ajar gitu
113,1,esbuah 5rb bolak balik gojek 20rb beli 4 es buah 20rb jadi 40rb worth it lah asli drpd dikota yg jual ceban 1 aja udah jarang parah wkwkwk
114,1,kalo lagi sayang ya sayang pisan kalo lagi manja ya manja pisan kalo lagi aleman ya aleman pisan kalo lagi ngambek ya ngambek pisan kalo lagi koplak ya jangan ditanyaa ya gaes dia koplak melebihi aku
115,0,karena kalimat masasih uang yg kmrn dksh gacukup boros bangetsih masa uangnya tinggal segini lantas si pengatur keuanganpun ingin murka rasanya
116,0,hoh bar sakit rasanya
117,0,stlah upah d traktir kamu neng kaleum bray ni msi jauh dari tanggal
118,0,mereka sangat kuatir dengan dukungan penuh nu kepada presiden makanya yang mereka coba utakatik dan delegitimasi adalah istilah islam nusantara yang diperkenalkan dan dikembangkan nu sejak muktamar 2015 jadi persoalannya bukan agama tapi politik
119,0,niruin sistem sekolah lain tidakkreatif amat jadi sekolah terlalu norak sih ya apa2 selalu pakai ungulan baru ngeliat ungulan ya hahaha
120,1,saya jatuh cinta pada ryan gosling sejak di the notebook mungkin itu kenapa saya enggak pernah bosan nonton ulang la la land sampai sekarang udah lebih dari 10 kali nonton la la land mata sayu senyum lembutgosling banget
121,1,amin terima kasih deh d selamat ulangtahun cinta sukses dunia akhirat ya d
122,1,dia nih manusia yang tibatiba nyita perhatian gara2 kukira dia orangnya kalem ternyata allahu bobrok banget tapi tambah bobrok tambah cinta huhu bucin bgt sori
123,0,yang salah siapa masa yang ngalah harus saya
124,1,kalungnya hayom bagus juga tuh
125,1,aku hanyalah ciptaan tuhan bukan superhero apalagi malaikat aku hanya bisa melakukan apa yang aku lakukan dek itulah aku anak nomor tiga yang murah hati dan aku mohon semoga kamu cepat tau dek menjauhdarijanji
126,1,kamu tau aku sayang sama kamu dan rasa sayang aku ke kamu makin besar mungkin rasa sayang yg besar itu nantinya akan menyakiti satu sama lain tapi untuk saat ini aku benerbener sayang sama kamu sungguh hehehehe
127,0,supir bak hilux tolol jalanan lebar bisabisanya ngelindes kaki w udah gt pas kaki gua kelindes malah bukannya mundurmaju cepet cepet kok malah hah hoh hah hoh sakit tot bodoh dipelihara kucing tuh dipelihara
128,1,cie selamat tanggal ya fatrin longlast and kep romantic ya seyamet tanggal ya bebeb d wkwkwkwk
129,0,jangan kebanyakan nonton makanya mau bangkit dari kasur lemas sekali _
130,1,muda2han puasa kali ini membawa perubahan bagi kita semua jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi
131,0,pusing îâ ï½ âï½ â
132,1,pengennya nangis tapi ga bisa ngeluarin air mata entah dari pagi pengennya senyum jadi sampai kebawa ke hati siang siang di gituin tetep rasanya enteng
133,0,tolong mengerti modal gue tidak sebanyak itu ahaha terus kepikiran kata kak zha saving buat encore di korea aku galaoo t_t
134,1,selamat malam cantik kok belum blsan dari siang tadi
135,1,style kuliah doyoung kek gini simple gak banyak gaya tapi itu yang bikin jatuh cinta pokoknya doyoung cocok dengan gaya apa aja anak ekonomi yang tiap hari datang ke prody sastra inggris cuma untuk ngejemput gue selesai kuliah
136,0,suka ndak habis pikir sm orang yg ngatain musibah ketika menimpa org lain dianggap azab tp ktk menimpa golongannya disebut cobaan ingin ku misuh matane
137,1,kalian kdg ktemu org di socmed yg trnyata temennya si ini gt gak sieh trnyata si ini mantannya si ituatau wah trnyata si ini yg bikin konten yutub ini why why the world is so smoll
138,0,gaya kamu cong sok pejabat meting segala cuih ahahaha meting tidakberes2 z
139,0,belajar agama yg tuntas jd nga ngarang dalam hidup isa saja disebut2 dialquran trus lu mau jelek2in isa bisa baca alquran ga
140,0,apakah mereka tidak pernah belajar akan dampak negatif omongan besar dan kata2 kasar dulu pernah politisi menyebut jokowi sinting karena mengemukakan gagasan hari santri ucapan bodoh ini ternyata menyumbang besar bagi kemenangan presiden dalam pilpres 2014
141,0,biarin saja noldy orangnya juga sudah tua kasihan malah liat orang tidakada kerjan begitu h
142,1,ya allah tugasku telah selesai dengan baik putri kecilku yang lucu dan kucintai telah menjadi wanita cantik bahagiakanlah ia bersama suaminya
143,0,turut sepenanggungan atas meninggalnya dr ramona sari sejawat aktivis dan salah satu pejuang paling tangguh dari untuk hak kesehatan seksual reproduksi perempuan indonesia semoga yang maha berkenan memeluk pulang tuhan yang memberi tuhan pula yang mengambil
144,0,masa supir taxinya mengeluh macet sekali nih kalau tidakmau macet jadi supir pesawat aja ed abu yang
145,0,terus tolong dong hargai privasi kalaupun gue jelasin semuanya ke kalian kalian tu ga bakalan ngerti juga kalian berpikiran dr sudut pandang kalian sendiri bukan dari sudut pandang gue ataupun si x sahabat gue jadi udahlah
146,1,apa persamaan antara jomblo dan puasa yap benar samasama sabar menahan diri dan menunggu kenikmatan yang hakiki percaya bahwa kebahagiaan itu akan tiba pada waktunya semangat menunggu berbuka semangatpuasa
147,1,okelah kemajuan hayom
148,1,ketika sentuhan pertama langsung berbuah jadi gol kurang beruntung apa coba udah sejajar lah ya sama andy cole shearer berbatov
149,1,alhamdulillah selesai membaca buku ini semoga ilmu yang diperoleh berkah dan bermanfaat aamiin ayomembaca satuharisatubab jakarta
150,0,lu pengen nonton film dibioskop tapi ga punya tiket terus lu boleh gitu ikut nonton ya gitu lah kalo paku payung dikasih nyawa udah ga tiket tapi tetep maksa tolol sih
151,1,sukadeh sama temen yg ngetweet konten2 yang berwawasan apalagi di dunia nyata bisa share ilmu jadi nyinyiran kritikan bisa lebih bermanfaat apalagi kalo nyambung ngomongnya ga cm bahas lamtur lipen aja
152,0,semoga roboh dan menimpa mereka baru kemudian akan himbauan keras untuk tidak naiknaik sembarangan ke atas situs sejarah sadis terpaksa pekok berjamaah garansi seumur hidup
153,0,dear sy kirim dokumen penting dari jkt sby makanya sy pake yes kirim senin 4juni seharusnya sampe selasa 5juni skr sudah hari rabu kenapa belum sampe2 juga kan bikin esmosi sy udah byr lbh pake yes kenapa gak nyampe sehari no resi sy 011060039617518
154,1,oldmoneygakngerasain main kocok sabun ambil gelas plastik masukin air and sabun colek trus dikocok2 pake sikat gigi klo mau halus pake sabun mandi kocok terus sampe busanya banyak tp gk ngerti fungsinya apa wkwkl
155,0,indosat ngehe
156,0,miris menciptakan karya dengan susah payah yang menguras pikirantenagawaktu dan materi kalah oleh oknum yg menjiplak danatau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi gimana menurut
157,1,cinta itu sederhana aku dan kamu dan tidak yang lain aku untukmu dan kamu untukku yang lain cuma nonton
158,1,halo sebagai sahabat dahsyat mesti tahu dong kalau ini artis yang bakal boming
159,1,percaya saja kalo tuhan punya rencana baik toh setiap orang pernah berbuat kesalahan yg penting bagaimana cara agar tidak mengulang hal tersebut
160,1,go seung jae sama song hyeri kapan jadiannya nih gue nungguin kepo juga sama ending hubungan mereka huhu padahal seung jae munculnya cuma bentaran doang tapi berhasil merebut atensiku dari mas choi myeong ho yg ganteng
161,1,kamu yang akan ku ceritakan kelak anak anak kita bertanya cinta itu apa inspirasi sehabis meeting tibatibacinta tibatibakangensuami tibatiba cerita orangyangkucintai jakarta
162,0,teroon emang yang 540 kenapa download yang 720 sihh abis kan 1gb padahal buat download about time eps 06 sama miss hammburabi eps 06 juga
163,1,ya ampun blink cantik luar biasa haha âï½ ï½ ï½ ï½â
164,0,kacamata kapan jadinya sih _ mata sudah susah buat liat jelas ini
165,0,si aib anak mana jangan buka aib mar _ biasanya juga begitu ah april lagi on
166,0,hellooww pak asian games tinggal hitungan minggu dan jakarta masih blm kelar berbenah apakah anda tidak malu palembang 95 pengerjaan hampir kelar dan anda pak anies urusin trotoar pun blm selesai2 anda itu gubernur
167,0,mardani mingkem tidak bisa jawab makanya masyarakat cerdas janganpilihpartaioposan menyesatkan
168,1,pulang ngantor sebelum waktunya itu asoy loh tidakmacet hahaha
169,1,dare completed indah bgt hr ini huuh lumayan makanannya enak td hahhahaha
170,0,anjing batu fucker kamu fckng bodoh banci halah saya sumpahin kamu nikah ama buselo
171,0,bicara sama orang ini tidakasik sekali pahit âº
172,1,buset indosat baik banget dah cuma nge berentiin pake bukanan aja dpt id indosat super wifi
173,0,astaghfirullah baru jam 10 gw udah istighfar aja mo marahmarahin orang please refer to my last email alias bitch i just said so why are you asking again
174,0,ini kenapa pingang saya sakit tbtb _
175,1,semangat hari ini yeah am ready to work at pt iahgames indonesia â
176,0,setuju bang yg beginian bikin hidupnya gk tenang aj yagk mikirin yg lain ky gmn nyari orderan pengen enak sendiri aj jadinya gw aj gedeg bener yg bikin opik begituan
177,1,bagus juga hasil fotonya mama with and karamina at quickly pic â
178,1,terima kasih dinporapar kabupaten purbalingga juga rekan2 pramuwisata purbalingga yang telah datang dan berpartisipasi dalam acara buka puasa bersama untuk hadirnya pula sinergi saling mengisi dan memajukan pariwisata
179,1,habis foto paling enak mangkal disini nih haha at hakata ikousha pic â
180,0,kl ga kebukti ga perlu kabur tuh bangsat cabul logika berpikir orang waras nah cabul imam pula dibela sampai mampus cm krn takut ga masuk surga lu
181,1,sungguh memang indahnya ciptaan sang tuhan sampai aku begitu sangat terpesona melihat garis senyum manismu sayang
182,0,ojo engko tingkat kegantenganku ilang gundul gundul gundul lama2 risih sama poni yang panjang
183,0,liat postingannya simba via ini yg terbaru kok netijennya jahat2 ih dibilang lebai lah vianya cedih woi cewe baik klo di dm yg nga2 mah pasti marah lah
184,1,jika kita berserah pada tuhan maka segala kekuatiran dan ketakutan kita akan diangkatnya hidup menjadi lebih nyaman dan tenteram sebab penyertaan allah selalu baru bagi kita yang percaya dan mengasihinya
185,1,makin hari makin cinta sama si hitam idung lebar â
186,1,terima kasih ayah bunda yang sudah mempercayakan treatment untuk baby raesha di semoga baby raesha sehat dan bahagia selalu momnjogadingserpong giftawayforcustomer
187,1,ih bercanda tahu aku nanti aku belin kok pasti itu kalau perlu dipaketin langsung dari sananya
188,1,selamat pagi kaum hawa kalian mengoda
189,0,1125 selasajuli2018 lihat berita para tokoh tokoh elit politik isinya saling klaim konflik beda pendapat lalu menjatuhkan macam otak di dengkul aja 2018 masih begitu jijik gue
190,1,selamat pagi kesayangankuh c â¾ï½ ï½ ï½ ï½ ï½ â
191,1,hahahahaha terbahakbahak oiya em bm dari calista tidakdibaca kok tenang ajaï½
192,0,dari sekian banyak thread yang aku baca thread ini paling aneh sih dalam penulisan sumpah aneh bgt mau ngatain lebay aja segala bikin thread hadeh aku juga ga jago nulis tapi tulisan aku ga seberantakan thread mbaknya
193,0,sehat tiap hidupin data seluler selalu muncul notif yg kanan terus data seluler otomatis mati gitu terus berulang padal kuotanya msih 1 gb lebih akhirnya gabisa dipakai respon respon ya
194,1,manusialah polisi penjaga yang bertugas di sekitar makam mantan presiden mustafa kemal nah karena tinggi dan kek patung saya tertarik foto hahaha
195,0,malas sekali ya dinas malam orang tidur saya kerja sh sekali cuma pengen libur th huft at rumah seni triplek â
196,1,hahaha ikut dong seru seperti ea
197,1,udaranya mendukung sangat buat makan abis itu tidur hoam o
198,0,woww tuduhan lagi rujukan nya please siapa yg bilang mas
199,1,takdir tahun ini berulang tahun dengan keindahan alam yg menyejukkan serta tempat2 bersejarah sesuai keinginan hehe terima kasih tim ici adventure pekanbaru atas kegiatannya bahagia
200,0,nyerang fansite suruh take down semua foto pas konser sampe nyuruh fansite tutup aja kalo fansite tutup ya sumber atm mereka tutup juga lah hahaha
201,0,barang kiriman saya no resi 013150189591518 kok belum diantar ya padahal tgl 56 jam 0924 wib sdh di angke masih pagi tapi kok gak diteruskan ke alamat tujuan
202,1,keren gila suasana malam di asrama putri
203,0,mending lama dimotor daripada lama di bus pen mabok saya
204,0,kamu bau hahaha tuh sudah ingin sangat diketawain
205,1,yang kangen kamu pengen meluk kamu pengen berduaan sama kamu lagi aku tunggu kok sampe kamu balik love u sayang
206,0,aku hanya bisa menangis aku tak bisa
207,1,pak jokowi berhasil banget deh pokoknya bikin acara pesta hiburan rakyat di monasmacetnya manatahaan httptcopiqhk04wz9
208,0,umur 9thn omongan kaya tante2 45thn _gue lebih suka sama bocah sd yang masih culun dan polos
209,1,terima kasih juga buat temen2 basis yg sudah bersedia meluangkan waktunya untuk menjadi panitia semoga allah swt senantiasa memberikan rezeki yg halal dan berkah untuk kita semua aamiin
210,0,parah kamu sampai juni harus berbuat baik
211,1,mie kuah pak kumis bareng thalia selamat makan at home swet home pic â
212,1,kan kupeluk engkau erat2 hingga tak seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg 6nov 31months
213,1,alhamdulillah 3 30 juli is our happy day congratss my sissyy meskipun gadapet snm tp jalan lain buat meraih mimpi kita padahal snm kita merah dan nangis sesenggukan pelukan berdua eh ternyata balik lagi ketrima di satu2 nya pilihan snm kita
214,1,nangroe aceh darussalam memang istimewa al fatihah buat teuku markam dan salam hormat buat keluarga teuku markam dari kami rakyat indonesia
215,0,percaya kata lelaki itu terutama ketika aku ingin mati karena disiksa zaman tapi karena kematian tak kunjung tiba aku melupakannya tuhan menjauh dan aku pun menjauhinya aku tidak tahu apa iya masih penting sejak kulupa
216,1,istimewanya sedekah di hari jumat
217,0,lah yaudah kaga usah diliat atau lu gangguan jiwa kek gua yang udah tau kaga demen tapi diliatin mulu toh duit juga duit dia asal kewajiban dia sebagai istriibu gak terbengkalai mah gua lebih gak suka dia karna beberapa sifat k
218,1,hiburan di hape klo ga lihat recehkantwitter ya minta google assistant buat ngirimin joke macem ini hidupku memang kek uang kembalian
219,0,jakarta mulai gelap ditutup awan mendung siap2 naro ember digerojogan
220,0,thae pkn susah banget
221,1,semangat pagi coi at hotel santika tmi â
222,1,malem ini nyoba bikin overnight oat yg kadar pisangnya lebi banyak daripada oatnya tida lupa ditambah chia seeds madu dan vsoy semoga sahurqu nanti lebih manis daripada anganangan
223,1,agred gimana sih caranya supaya hidup bahagia terus selalu bersyukur
224,1,wkwk sudah tobat sekarang mah yah iya lah d
225,1,selalu rencana tuhan yang lebih indah dari semua rencana kita
226,0,ini lagi penutup mungkin sampai rumah jam lewat kan jauh d pws
